hero_a,hero_b,counter_score
14,76,-0.04999999999999999
14,77,-0.06
14,79,-0.04424800000000001
14,80,-0.018135000000000012
14,81,-0.131818
15,1,0.024016999999999955
15,2,-0.04294500000000001
15,3,-0.032050999999999996
15,4,-0.04222199999999998
15,6,0.0013119999999999798
15,7,-0.070328
15,8,-0.04185
15,10,-0.019587999999999994
15,11,-0.084559
15,12,-0.066502
15,13,-0.055350999999999984
15,14,-0.020000000000000018
15,16,-0.12086999999999998
15,17,0.010526000000000035
15,18,-0.05595699999999998
15,19,-0.04203499999999999
15,20,-0.093692
15,25,-0.06337999999999999
15,27,-0.034884000000000026
15,31,-0.059083
15,35,-0.10999999999999999
15,50,-0.063077
15,52,-0.011363999999999985
15,58,-0.033741999999999994
15,60,-0.01052599999999998
15,63,-0.058140000000000025
15,64,-0.078378
15,65,-0.02995399999999998
15,66,-0.059726999999999975
15,67,-0.027778000000000025
15,69,-0.03822599999999998
15,72,0.008772000000000002
15,76,-0.05656099999999997
15,77,-0.05730299999999999
15,79,0.018005999999999966
15,80,-0.05457200000000001
15,81,-0.060724
16,1,0.09450700000000001
16,2,0.016077000000000008
16,3,0.03390899999999997
16,4,0.020301000000000013
16,6,0.05104900000000001
16,7,0.022889999999999966
16,8,-0.010475999999999985
16,10,0.07672500000000004
16,11,0.024527999999999994
16,12,0.04727300000000001
16,13,0.06206299999999998
16,14,0.06711400000000001
16,15,0.12087000000000003
16,17,0.04984900000000003
16,18,0.018456000000000028
16,19,0.079395
16,20,0.010324
16,25,0.04932000000000003
16,27,0.042120000000000046
16,31,0.04427300000000001
16,35,0.019257999999999997
16,50,0.03253700000000004
16,52,0.139262
16,58,0.02688199999999996
16,60,0.09901000000000004
16,63,0.058958999999999984
16,64,0.03240399999999999
16,65,0.022472000000000047
16,66,0.043018
16,67,0.030405000000000015
16,69,0.058672999999999975
16,72,0.07641900000000001
16,76,0.020000000000000018
16,77,0.029411999999999994
16,79,0.08169899999999997
16,80,0.02349000000000001
16,81,-0.0020580000000000043
17,1,0.00909099999999996
17,2,-0.046584000000000014
17,3,-0.022166999999999992
17,4,-0.082822
17,6,-0.044943999999999984
17,7,-0.08745900000000001
17,8,-0.13888899999999998
17,10,-0.009224999999999983
17,11,-0.13565899999999997
17,12,-0.05208299999999999
17,13,-0.038461999999999996
17,14,0.052941000000000016
17,15,-0.01052599999999998
17,16,-0.04984899999999998
17,18,-0.06696400000000002
17,19,-0.04883700000000002
17,20,-0.07818199999999997
17,25,-0.07
17,27,0.013514000000000026
17,31,-0.012195000000000011
17,35,-0.06666699999999998
17,50,-0.038461999999999996
17,52,0.03398100000000004
17,58,-0.007041999999999993
17,60,0.04838699999999996
17,63,-0.010066999999999993
17,64,-0.07666699999999999
17,65,-0.017241000000000006
17,66,0.01144999999999996
17,67,-0.10139900000000002
17,69,-0.061497000000000024
17,72,0.06000000000000005
17,76,-0.043103
17,77,0.013793000000000055
17,79,0.009804000000000035
17,80,-0.024229
17,81,-0.04166700000000001
18,1,0.06950699999999999
18,2,0.007843000000000044
18,3,0.020325000000000037
18,4,-0.008850000000000025
18,6,0.04904799999999998
18,7,0.024241999999999986
18,8,-0.021297999999999984
18,10,0.060917
18,11,-0.015384999999999982
18,12,0.022387999999999963
18,13,0.028971999999999998
18,14,0.06179800000000002
18,15,0.055957000000000034
18,16,-0.018455999999999972
18,17,0.06696400000000002
18,19,0.04694799999999999
18,20,-0.027110999999999996
18,25,0.025793999999999984
18,27,0.041888999999999954
18,31,0.03310999999999997
18,35,0.016734000000000027
18,50,0.022087999999999997
18,52,0.118834
18,58,-0.01091700000000001
18,60,0.05849099999999996
18,63,0.052941000000000016
18,64,0.03312599999999999
18,65,0.03058700000000003
18,66,0.010815000000000019
18,67,0.0063830000000000275
18,69,0.02332400000000001
18,72,0.06796100000000005
18,76,0.010902999999999996
18,77,-0.01188800000000001
18,79,0.11034999999999995
18,80,0.01158300000000001
18,81,-0.020069999999999977
19,1,-0.024355000000000016
19,2,-0.048148000000000024
19,3,-0.052941000000000016
19,4,-0.047738999999999976
19,6,-0.027162999999999993
19,7,-0.06690600000000002
19,8,-0.11846200000000001
19,10,-0.059726999999999975
19,11,-0.10344799999999998
19,12,-0.021036
19,13,-0.06190499999999999
19,14,-0.01049
19,15,0.042035000000000045
19,16,-0.079395
19,17,0.04883700000000002
19,18,-0.04694799999999999
19,20,-0.07184800000000002
19,25,-0.021504999999999996
19,27,-0.05092600000000003
19,31,-0.01597599999999999
19,35,-0.07505800000000001
19,50,-0.0012659999999999894
19,52,0.07281599999999999
19,58,-0.035714000000000024
19,60,0.04210499999999995
19,63,-0.026737999999999984
19,64,-0.037221000000000004
19,65,-0.039241000000000026
19,66,-0.05151499999999998
19,67,-0.05952400000000002
19,69,-0.02691199999999999
19,72,-0.016129000000000004
19,76,-0.0625
19,77,-0.04631099999999999
19,79,0.013514000000000026
19,80,-0.05841600000000002
19,81,-0.057311999999999974
20,1,0.083673
20,2,-0.0017179999999999973
20,3,0.028351000000000015
20,4,0.019511999999999974
20,6,0.05364000000000002
20,7,0.011804000000000037
20,8,-0.02268199999999998
20,10,0.06379500000000005
20,11,-0.007220000000000004
20,12,0.03212899999999996
20,13,0.05791999999999997
20,14,0.08646600000000004
20,15,0.093692
20,16,-0.010324
20,17,0.07818199999999997
20,18,0.027110999999999996
20,19,0.07184800000000002
20,25,0.045906
