composition,winrate,games
10|12|16|19|50|7,0.0,1
10|12|16|19|58|63,0.0,1
10|12|16|19|63|65,0.0,1
10|12|16|19|63|7,1.0,1
10|12|16|20|52|65,0.0,1
10|12|16|20|65|77,1.0,1
10|12|16|20|66|7,1.0,1
10|12|16|27|50|65,1.0,1
10|12|16|27|52|63,0.0,1
10|12|16|27|52|65,1.0,1
10|12|16|27|52|7,0.5,2
10|12|16|27|64|7,0.0,1
10|12|16|27|65|81,1.0,1
10|12|16|2|25|52,1.0,1
10|12|16|2|25|58,1.0,1
10|12|16|2|31|52,0.0,1
10|12|16|2|52|72,1.0,1
10|12|16|2|52|80,0.5,2
10|12|16|2|7|80,0.0,1
10|12|16|35|50|77,1.0,1
10|12|16|35|63|77,1.0,1
10|12|16|35|64|7,0.0,1
10|12|16|3|50|64,0.0,1
10|12|16|3|52|72,1.0,1
10|12|16|4|50|67,0.0,1
10|12|16|4|50|7,0.0,1
10|12|16|4|64|65,1.0,1
10|12|16|50|65|66,1.0,1
10|12|16|50|65|80,0.0,1
10|12|16|52|64|7,0.0,1
10|12|16|52|65|8,0.0,1
10|12|16|52|66|7,0.5,2
10|12|16|58|64|7,1.0,1
10|12|16|63|7|77,1.0,2
10|12|16|63|7|8,1.0,1
10|12|16|64|80|81,1.0,1
10|12|16|65|7|72,0.0,1
10|12|17|19|67|7,0.0,1
10|12|17|25|63|8,0.0,1
10|12|17|27|64|80,0.0,1
10|12|17|31|63|64,1.0,1
10|12|17|31|7|77,0.0,1
10|12|17|4|58|8,1.0,1
10|12|18|3|65|80,0.0,1
10|12|18|50|52|65,0.0,1
10|12|19|20|52|65,0.0,1
10|12|19|20|58|65,1.0,1
10|12|19|20|63|7,0.0,1
10|12|19|20|7|80,0.0,1
10|12|19|2|31|50,0.0,1
10|12|19|2|65|80,1.0,1
10|12|19|31|50|7,0.0,1
10|12|19|31|63|65,0.0,1
10|12|19|31|65|7,1.0,1
10|12|19|3|35|7,1.0,1
10|12|19|3|7|8,1.0,1
10|12|19|50|52|77,1.0,1
10|12|19|50|76|77,0.0,1
10|12|19|7|76|80,0.0,1
10|12|19|7|80|81,0.0,1
10|12|20|27|3|7,1.0,1
10|12|20|27|52|7,0.0,1
10|12|20|3|65|77,1.0,1
10|12|20|3|66|77,0.0,1
10|12|20|50|52|66,0.0,1
10|12|20|52|65|66,0.0,1
10|12|20|52|66|7,1.0,1
10|12|20|52|7|72,0.0,1
10|12|20|52|7|80,1.0,1
10|12|20|58|63|80,0.0,1
10|12|20|63|65|77,0.0,1
10|12|20|65|80|81,0.0,1
10|12|20|6|65|81,1.0,1
10|12|25|31|50|7,1.0,1
10|12|25|31|58|7,1.0,1
10|12|25|3|7|77,1.0,1
10|12|25|3|7|81,1.0,1
10|12|25|52|7|79,0.0,1
10|12|25|52|8|81,1.0,1
10|12|25|60|65|7,1.0,1
10|12|27|31|4|69,0.0,1
10|12|27|31|52|65,0.0,1
10|12|27|35|58|7,1.0,1
10|12|27|35|65|7,0.25,4
10|12|27|3|50|72,1.0,1
10|12|27|3|7|81,1.0,1
10|12|27|4|50|77,0.0,1
10|12|27|63|77|80,0.0,1
10|12|27|64|65|76,1.0,1
10|12|27|64|7|81,1.0,1
10|12|2|25|76|77,0.0,1
10|12|2|27|77|8,0.0,1
10|12|2|31|4|52,0.0,1
10|12|2|31|66|7,0.0,1
10|12|2|31|76|81,0.0,1
10|12|2|35|50|66,1.0,1
10|12|2|35|63|66,0.0,1
10|12|2|52|6|76,0.0,1
10|12|2|58|6|76,0.0,1
10|12|2|6|7|8,1.0,1
10|12|31|4|65|80,0.0,1
10|12|31|50|52|77,0.0,1
10|12|31|63|7|77,0.0,1
10|12|31|65|7|77,1.0,1
10|12|35|4|63|65,0.0,1
10|12|35|50|64|7,1.0,1
10|12|35|50|66|7,0.0,1
10|12|35|63|66|7,0.0,1
10|12|35|64|65|7,1.0,1
10|12|35|7|8|80,0.0,1
10|12|3|4|63|80,1.0,1
10|12|3|4|66|7,1.0,1
10|12|3|4|77|80,0.0,1
10|12|3|4|7|80,0.0,1
10|12|3|64|65|77,1.0,1
10|12|3|64|7|72,1.0,1
10|12|3|65|66|80,1.0,1
10|12|3|66|7|81,0.0,1
10|12|4|65|76|77,1.0,1
10|12|4|6|65|7,1.0,1
10|12|50|64|77|8,1.0,1
10|12|50|72|77|81,1.0,1
10|12|50|7|72|8,0.0,1
10|12|52|58|69|7,0.0,1
10|12|52|64|65|69,1.0,1
10|12|52|6|64|7,1.0,1
10|12|52|7|77|8,0.0,2
10|12|63|66|77|81,0.0,1
10|12|64|65|80|81,1.0,1
10|12|64|7|77|81,1.0,1
10|12|64|7|80|81,0.0,1
10|12|65|66|67|7,0.0,1
10|12|65|66|7|8,1.0,1
10|12|65|72|77|8,0.0,1
10|12|66|7|77|81,0.0,1
10|12|6|63|65|80,0.0,1
10|12|6|65|7|80,1.0,1
10|12|7|76|77|80,0.0,1
10|12|7|77|80|81,0.0,1
10|13|14|15|19|4,1.0,1
10|13|14|15|27|77,0.0,1
10|13|14|15|35|65,1.0,1
10|13|14|15|80|81,1.0,1
10|13|14|16|19|76,1.0,1
10|13|14|16|25|72,0.0,1
10|13|14|16|25|81,0.0,1
10|13|14|16|27|64,0.0,1
10|13|14|16|35|52,0.0,1
10|13|14|16|4|77,1.0,1
10|13|14|18|77|81,0.0,1
10|13|14|19|20|31,0.0,1
10|13|14|19|20|66,1.0,1
10|13|14|19|31|35,1.0,1
10|13|14|19|31|77,0.0,1
10|13|14|19|35|77,1.0,1
10|13|14|19|35|81,1.0,1
10|13|14|19|6|80,0.0,1
10|13|14|19|77|8,0.0,1
10|13|14|20|4|72,1.0,1
10|13|14|25|31|64,1.0,1
10|13|14|25|31|81,0.0,1
10|13|14|25|6|64,1.0,1
10|13|14|27|35|64,1.0,1
10|13|14|6|64|66,1.0,1
10|13|14|6|66|77,0.0,1
10|13|14|6|77|81,0.0,1
10|13|15|16|18|7,0.0,1
10|13|15|16|19|20,0.0,1
10|13|15|16|19|8,1.0,1
10|13|15|16|20|4,1.0,2
10|13|15|16|20|64,1.0,2
10|13|15|16|20|77,1.0,1
10|13|15|16|2|6,0.0,1
10|13|15|16|31|64,0.0,1
10|13|15|16|31|72,0.0,1
10|13|15|16|31|81,0.0,1
10|13|15|16|35|80,0.0,1
10|13|15|16|35|81,1.0,1
10|13|15|16|60|77,1.0,1
10|13|15|16|64|76,0.0,1
10|13|15|16|8|80,0.0,1
10|13|15|17|18|25,0.0,1
10|13|15|18|20|65,0.0,1
10|13|15|18|25|7,0.0,1
10|13|15|18|27|7,1.0,1
10|13|15|18|27|8,1.0,1
10|13|15|18|4|64,0.0,1
10|13|15|18|50|72,0.0,1
10|13|15|18|52|63,0.0,1
10|13|15|18|65|76,1.0,1
10|13|15|18|65|77,0.0,1
10|13|15|18|65|81,0.0,1
10|13|15|19|20|8,0.0,1
10|13|15|19|27|8,1.0,1
10|13|15|19|31|64,1.0,1
10|13|15|19|35|8,1.0,1
10|13|15|19|60|64,0.0,1
10|13|15|20|31|64,0.0,2
10|13|15|20|35|64,0.0,1
10|13|15|20|35|66,0.0,1
10|13|15|20|35|81,0.0,1
10|13|15|20|65|80,0.0,1
10|13|15|20|77|80,0.0,1
10|13|15|25|31|80,1.0,1
10|13|15|25|60|80,1.0,1
10|13|15|27|60|66,1.0,1
10|13|15|31|50|64,1.0,1
10|13|15|31|64|72,0.0,1
10|13|15|31|6|77,0.0,1
10|13|15|31|6|80,1.0,3
10|13|15|31|6|81,0.0,1
10|13|15|31|80|81,1.0,1
10|13|15|35|65|66,0.0,1
10|13|15|35|6|65,0.0,1
10|13|15|4|64|81,0.0,1
10|13|15|63|65|72,1.0,1
10|13|15|64|66|69,0.0,1
10|13|15|65|77|79,0.0,1
10|13|15|66|76|80,0.0,1
10|13|15|66|7|76,1.0,1
10|13|15|6|7|76,0.0,1
10|13|15|72|77|79,0.0,1
10|13|15|7|72|77,0.0,1
10|13|16|17|18|19,0.0,1
10|13|16|17|18|25,1.0,2
10|13|16|17|18|72,0.333333,3
10|13|16|17|19|20,1.0,1
10|13|16|18|19|50,1.0,1
10|13|16|18|25|50,0.0,1
10|13|16|18|25|63,1.0,2
10|13|16|18|25|7,0.0,1
10|13|16|18|27|50,1.0,2
10|13|16|18|2|25,1.0,1
10|13|16|18|2|66,1.0,1
