hero_a,hero_b,winrate,games
19,69,0.46594,367
19,7,0.428571,749
19,72,0.486301,292
19,76,0.436975,238
19,77,0.449923,649
19,79,0.524845,322
19,8,0.382184,348
19,80,0.442857,490
19,81,0.453629,496
2,1,0.605442,294
2,10,0.574871,581
2,11,0.540541,296
2,12,0.495413,218
2,13,0.522852,547
2,14,0.542857,175
2,15,0.559748,318
2,16,0.49616,651
2,17,0.56051,157
2,18,0.485294,544
2,19,0.542056,428
2,20,0.506623,604
2,25,0.531915,282
2,27,0.555911,313
2,3,0.5,390
2,31,0.549254,670
2,35,0.5,342
2,4,0.510903,321
2,50,0.490028,351
2,52,0.612403,258
2,58,0.511628,129
2,6,0.520231,346
2,60,0.545946,185
2,63,0.58104,327
2,64,0.536278,634
2,65,0.492604,676
2,66,0.501992,251
2,67,0.523636,275
2,69,0.525469,373
2,7,0.462935,661
2,72,0.541667,216
2,76,0.575758,198
2,77,0.526839,503
2,79,0.574526,369
2,8,0.487973,291
2,80,0.508152,368
2,81,0.533816,414
20,1,0.58835,515
20,10,0.566946,956
20,11,0.494755,572
20,12,0.537753,543
20,13,0.550114,878
20,14,0.575758,264
20,15,0.599647,567
20,16,0.496762,1081
20,17,0.562937,286
20,18,0.520887,1173
20,19,0.573239,710
20,2,0.493377,604
20,25,0.543326,427
20,27,0.587549,514
20,3,0.530909,825
20,31,0.553415,1142
20,35,0.503467,721
20,4,0.517391,460
20,50,0.552553,666
20,52,0.636179,492
20,58,0.510345,290
20,6,0.55597,536
20,60,0.575385,325
20,63,0.556098,615
20,64,0.540059,1011
20,65,0.538232,1007
20,66,0.548098,447
20,67,0.545977,522
20,69,0.565438,787
20,7,0.501761,1136
20,72,0.570667,375
20,76,0.534591,318
20,77,0.560109,732
20,79,0.593407,637
20,8,0.470037,534
20,80,0.548193,498
20,81,0.506734,594
25,1,0.527027,222
25,10,0.543605,344
25,11,0.488372,215
25,12,0.449438,178
25,13,0.444744,371
25,14,0.566929,127
25,15,0.559441,286
25,16,0.456452,620
25,17,0.6,100
25,18,0.477842,519
25,19,0.513298,376
25,2,0.468085,282
25,20,0.456674,427
25,27,0.534483,232
25,3,0.481481,297
25,31,0.496283,538
25,35,0.513245,302
25,4,0.484496,258
25,50,0.484581,227
25,52,0.609524,210
25,58,0.489796,98
25,6,0.491857,307
25,60,0.525862,116
25,63,0.508403,238
25,64,0.47314,484
25,65,0.473282,524
25,66,0.513393,224
25,67,0.464481,183
25,69,0.527426,237
25,7,0.46748,492
25,72,0.484663,163
25,76,0.5,168
25,77,0.525381,394
25,79,0.497717,219
25,8,0.444976,209
25,80,0.544828,290
25,81,0.437299,311
27,1,0.549801,251
27,10,0.524625,467
27,11,0.420635,252
27,12,0.483092,207
27,13,0.460227,528
27,14,0.573643,129
27,15,0.543974,307
27,16,0.458493,783
27,17,0.486301,146
27,18,0.445946,592
27,19,0.547126,435
27,2,0.444089,313
27,20,0.412451,514
27,25,0.465517,232
27,3,0.45481,343
27,31,0.485618,591
27,35,0.478022,364
27,4,0.470769,325
27,50,0.465517,348
27,52,0.575646,271
27,58,0.487603,121
27,6,0.468553,318
27,60,0.512987,154
27,63,0.508961,279
27,64,0.471002,569
27,65,0.473282,524
27,66,0.438931,262
27,67,0.492683,205
27,69,0.5,314
27,7,0.47541,610
27,72,0.5,214
27,76,0.48951,143
27,77,0.451977,531
27,79,0.556,250
27,8,0.442982,228
27,80,0.506494,308
27,81,0.475155,322
3,1,0.55873,315
3,10,0.529915,585
3,11,0.468013,297
3,12,0.490683,322
3,13,0.493197,588
3,14,0.558659,179
3,15,0.51585,347
3,16,0.465011,886
3,17,0.509009,222
3,18,0.475904,664
3,19,0.55157,446
3,2,0.5,390
3,20,0.469091,825
3,25,0.518519,297
3,27,0.54519,343
3,31,0.511416,657
3,35,0.5,406
3,4,0.501393,359
3,50,0.484163,442
3,52,0.613419,313
3,58,0.484663,163
3,6,0.496875,320
3,60,0.520325,246
3,63,0.498856,437
3,64,0.489396,613
3,65,0.517804,674
3,66,0.491071,336
3,67,0.517241,290
3,69,0.524444,450
3,7,0.475029,861
3,72,0.508197,244
3,76,0.502994,167
3,77,0.476471,510
3,79,0.578348,351
3,8,0.435673,342
3,80,0.454277,339
3,81,0.5,374
31,1,0.50838,537
31,10,0.51665,991
31,11,0.461988,513
31,12,0.488839,448
31,13,0.486647,1011
31,14,0.55298,302
31,15,0.563406,552
31,16,0.462879,1320
31,17,0.538674,362
31,18,0.465809,1243
31,19,0.523754,863
31,2,0.450746,670
31,20,0.446585,1142
31,25,0.503717,538
31,27,0.514382,591
31,3,0.488584,657
31,35,0.510791,695
31,4,0.488927,587
31,50,0.484848,693
31,52,0.611452,489
31,58,0.457249,269
31,6,0.484627,683
31,60,0.547368,380
31,63,0.509091,660
31,64,0.496324,1088
31,65,0.507185,1183
31,66,0.461947,565
31,67,0.486598,485
31,69,0.479777,717
31,7,0.470182,1157
31,72,0.552381,420
31,76,0.497076,342
31,77,0.481481,945
31,79,0.55624,649
31,8,0.429194,459
31,80,0.497842,695
31,81,0.479699,665
35,1,0.596774,310
35,10,0.541071,560
35,11,0.46319,326
35,12,0.474916,299
35,13,0.498938,471
35,14,0.515152,165
35,15,0.573668,319
35,16,0.477573,758
35,17,0.540373,161
35,18,0.47541,793
35,19,0.573009,452
35,2,0.5,342
35,20,0.496533,721
35,25,0.486755,302
35,27,0.521978,364
35,3,0.5,406
35,31,0.489209,695
35,4,0.444785,326
35,50,0.486936,421
35,52,0.612121,330
35,58,0.486111,144
35,6,0.529716,387
35,60,0.633987,153
35,63,0.478395,324
35,64,0.522361,559
35,65,0.511464,567
35,66,0.497024,336
35,67,0.535545,211
35,69,0.536697,436
35,7,0.462481,653
35,72,0.566116,242
35,76,0.514793,169
35,77,0.478261,460
35,79,0.611684,291
35,8,0.444079,304
35,80,0.491639,299
35,81,0.453642,302
4,1,0.523605,233
4,10,0.511628,387
4,11,0.445833,240
4,12,0.512712,236
4,13,0.486081,467
4,14,0.509434,106
4,15,0.532819,259
4,16,0.477971,749
4,17,0.604651,172
4,18,0.505071,493
4,19,0.552511,438
4,2,0.489097,321
4,20,0.482609,460
4,25,0.515504,258
4,27,0.529231,325
4,3,0.498607,359
4,31,0.511073,587
4,35,0.555215,326
4,50,0.512748,353
4,52,0.548,250
4,58,0.53913,115
4,6,0.521994,341
4,60,0.530055,183
4,63,0.532164,342
4,64,0.510417,480
4,65,0.480475,589
