match_id,team_a_strength_score,team_b_strength_score
66737126,0.0,14.0
66741522,0.0,14.0
66748282,0.0,14.0
66843777,0.0,14.0
66845433,0.0,14.0
66863151,0.0,14.0
66868656,0.0,14.0
66964996,0.0,14.0
66970124,0.0,14.0
66974995,0.0,14.0
66978878,0.0,14.0
66984307,0.0,14.0
66985528,0.0,14.0
66989955,0.0,14.0
66997997,0.0,14.0
67009265,0.0,14.0
67044365,0.0,14.0
67047670,0.0,14.0
67057635,0.0,14.0
67057748,0.0,14.0
67084545,0.0,14.0
67096671,0.0,14.0
67107056,0.0,14.0
67107815,0.0,14.0
67160221,0.0,14.0
67173111,0.0,14.0
67189217,0.0,14.0
67194842,0.0,14.0
67197476,0.0,14.0
67198836,0.0,14.0
67203888,0.0,14.0
67231560,0.0,14.0
67249559,0.0,14.0
67269464,0.0,14.0
67279426,0.0,14.0
67283011,0.0,14.0
67294660,0.0,14.0
67313929,0.0,14.0
67322321,0.0,14.0
67322712,0.0,14.0
67329624,0.0,14.0
67332521,0.0,14.0
67336588,0.0,14.0
67339584,0.0,14.0
67351490,0.0,14.0
67354074,0.0,14.0
67355113,0.0,14.0
67357153,0.0,14.0
67358051,0.0,14.0
67360056,0.0,14.0
67367001,0.0,14.0
67370528,0.0,14.0
67378279,0.0,14.0
67378625,0.0,14.0
67384385,0.0,14.0
67393436,0.0,14.0
67411701,0.0,14.0
67417472,0.0,14.0
67417875,0.0,14.0
67429907,0.0,14.0
67439700,0.0,14.0
67486504,0.0,14.0
67492044,0.0,14.0
67495011,0.0,14.0
67497396,0.0,14.0
67499821,0.0,14.0
67508499,0.0,14.0
67510400,0.0,14.0
67511634,0.0,14.0
67513535,0.0,14.0
67514752,0.0,14.0
67515506,0.0,14.0
67515556,0.0,14.0
67518306,0.0,14.0
67518929,0.0,14.0
67520294,0.0,14.0
67531925,0.0,14.0
67547388,0.0,14.0
67553640,0.0,14.0
67559207,0.0,14.0
67567587,0.0,14.0
67575182,0.0,14.0
67575550,0.0,14.0
67575936,0.0,14.0
67582984,0.0,14.0
67584308,0.0,14.0
67586447,0.0,14.0
67590608,0.0,14.0
67592377,0.0,14.0
67597193,0.0,14.0
67599240,0.0,14.0
67600959,0.0,14.0
67601404,0.0,14.0
67602116,0.0,14.0
67602945,0.0,14.0
67603070,0.0,14.0
67605710,0.0,14.0
67607903,0.0,14.0
67608836,0.0,14.0
67608888,0.0,14.0
67609284,0.0,14.0
67611229,0.0,14.0
67612811,0.0,14.0
67619737,0.0,14.0
67621624,0.0,14.0
67624705,0.0,14.0
67624878,0.0,14.0
67625007,0.0,14.0
67625287,0.0,14.0
67625715,0.0,14.0
67629385,0.0,14.0
67632132,0.0,14.0
67632181,0.0,14.0
67633259,0.0,14.0
67634561,0.0,14.0
67638373,0.0,14.0
67639633,0.0,14.0
67641621,0.0,14.0
67645540,0.0,14.0
67648118,0.0,14.0
67652500,0.0,14.0
67662456,0.0,14.0
67665528,0.0,14.0
67676878,0.0,14.0
67682543,0.0,14.0
67682585,0.0,14.0
67683341,0.0,14.0
67684047,0.0,14.0
67685683,0.0,14.0
67687301,0.0,14.0
67687680,0.0,14.0
67687684,0.0,14.0
67690377,0.0,14.0
67693057,0.0,14.0
67694384,0.0,14.0
67695572,0.0,14.0
67696367,0.0,14.0
67696428,0.0,14.0
67697292,0.0,14.0
67699886,0.0,14.0
67702397,0.0,14.0
67703062,0.0,14.0
67705581,0.0,14.0
67708994,0.0,14.0
67709067,0.0,14.0
67714192,0.0,14.0
67715192,0.0,14.0
67717228,0.0,14.0
67720188,0.0,14.0
67720338,0.0,14.0
67721284,0.0,14.0
67721450,0.0,14.0
67725183,0.0,14.0
67729935,0.0,14.0
67732503,0.0,14.0
67734509,0.0,14.0
67737173,0.0,14.0
67738987,0.0,14.0
67741497,0.0,14.0
67747224,0.0,14.0
67748376,0.0,14.0
67751790,0.0,14.0
67754900,0.0,14.0
67757568,0.0,14.0
67765725,0.0,14.0
67780206,0.0,14.0
67786089,0.0,14.0
67787401,0.0,14.0
67794126,0.0,14.0
67797484,0.0,14.0
67799641,0.0,14.0
67801552,0.0,14.0
67803817,0.0,14.0
67810310,0.0,14.0
67810619,0.0,14.0
67811832,0.0,14.0
67816459,0.0,14.0
67817920,0.0,14.0
67822616,0.0,14.0
67827413,0.0,14.0
67827942,0.0,14.0
67830398,0.0,14.0
67830777,0.0,14.0
67836304,0.0,14.0
67838820,0.0,14.0
67841572,0.0,14.0
67842908,0.0,14.0
67843427,0.0,14.0
67843549,0.0,14.0
